step, arokato, population, wealth 
0,ABE05109,12.624,2.0332838308128376
0,ABE06107,11.586,1.789654214140174
0,AR53408,42.5,12.370540409280999
0,AR80445,111.6,52.006159243220395
0,AR36427,23.1,4.995013326644693
0,AR73204501,17.9,3.4180960253859705
0,ABE05104,72.943,27.627717311725217
0,AR32425,86.7,35.723929900518364
0,AR53404,30.0,7.368517421474724
0,ABE06109,19.028,3.743366120623603
0,AR70238501,12.4,1.9798503088962922
0,AR95401,159.275,88.27682670817363
0,AR61230501,14.754,2.564010756246258
0,AR56253501,16.8,3.110379037965963
0,AR50217501,20.0,4.031315816194928
0,AR76226501,14.7,2.5500641392570724
0,AR32431,895.515,1151.7283739066124
0,AR70408,32.897,8.451458797277299
0,AR50248551,13.778,2.3158285525544753
0,AR01410,30.1,7.405082311644141
0,AR70206501,17.2,3.2211739784380553
0,AR61415,23.599,5.156356454665841
0,AR01247551,17.953,3.433161164926669
0,AR73210501,18.6,3.6188088847834976
0,AKA15105,10.028,1.4436941401300947
0,AR29410,26.4,6.092546656525509
0,ABE05107,28.541,6.84184078709281
0,ABE01101,515.975,507.20105745216136
